Zone,State,Distributor,Dealer,MT,SF_Id
North,Jammu And Kashmir,AGGARWAL TRADERS,SOE CONSTRUCTION COMPANY,21,001J1000003nJbWIAU
North,Jammu And Kashmir,ASHWANI KUMAR ASHOK KUMAR PRIVATE LIMITED,ISHFAQ TRADERS,2,001fw00000SfduwAAB
North,Madhya Pradesh,SHALIKA ENTERPRISES PRIVATE LIMITED,AGRAWAL IRON STORE,12,001fw00000CF0YlAAL
North,Madhya Pradesh,SHALIKA ENTERPRISES PRIVATE LIMITED,ANJALI TRADING COMPANY,66,001fw00000FEAGdAAP
North,Madhya Pradesh,SHALIKA ENTERPRISES PRIVATE LIMITED,AS Enterprises,30,0015g00001Y58dXAAR
North,Madhya Pradesh,SHALIKA ENTERPRISES PRIVATE LIMITED,DARSHIL ENTERPRISES,27,001fw00000BRAY7AAP
North,Madhya Pradesh,SHALIKA ENTERPRISES PRIVATE LIMITED,M/S B. M. ENTER PRISES,167,001fw000007uD9pAAE
North,Madhya Pradesh,SHALIKA ENTERPRISES PRIVATE LIMITED,ONX ASSOCIATES,76,001fw00000KS1yaAAD
North,Madhya Pradesh,SHALIKA ENTERPRISES PRIVATE LIMITED,SRIRAM IRON,12,001fw00000R4ViTAAV
North,Madhya Pradesh,SHALIKA ENTERPRISES PRIVATE LIMITED,VINAY STEELS,12,001fw000008L4ldAAC
North,Madhya Pradesh,SHALIKA ENTERPRISES PRIVATE LIMITED,VINAYAK AASHRYA PRIVATE LIMITED,41,001fw00000PHnKUAA1
North,Punjab,MAHAVIR STEEL CORPORATION,Bilga Steel,1,0015g00001dWdPnAAK
North,Punjab,MAHAVIR STEEL CORPORATION,Parkash Steels,29,001J100000LnCV6IAN
North,Punjab,MAHAVIR STEEL CORPORATION,VARDHMAN IRON STORE,2,001fw00000EOfRmAAL
North,Punjab,PAL CEMENT AND STEEL PVT. LTD.,BABA TRADERS,5,001J1000006VRZuIAO
North,Punjab,PAL CEMENT AND STEEL PVT. LTD.,BITLA STEEL SALES CORPORATION,12,001J1000003mSUZIA2
North,Punjab,PAL CEMENT AND STEEL PVT. LTD.,PAL CEMENT AND STEEL PVT. LTD,42,0015g00001e8kaNAAQ
North,Punjab,PAL CEMENT AND STEEL PVT. LTD.,SHREE BALAJI TRADING CO,33,001J1000003nJVpIAM
